ordem,html,tipo,titulo,caminho,url_origem,descricao,imagens_base,marcadores,rotulos,uso_no_produto,rota_sugerida
858,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/02_tooth-peridontium/05_periodontium-5/index.html,página de lâmina,Tooth apex and periodontium,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth peridontium > Periodontium 5,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/advanced/periodontium-5/,The apical region of the tooth and surrounding tissues of the periodontium are shown in this image. 100x,1,9,Apex of the tooth | Apical foramen | Cellular cementum | Lamellae | Periodontal ligament | Apical principal fibers | Alveolar bone | Dentin | Image source,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-peridontium/periodontium-5
859,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/02_tooth-peridontium/06_periodontium-6/index.html,página de lâmina,Molar and dental alveolus,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth peridontium > Periodontium 6,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/advanced/periodontium-6/,"A molar in its alveolus (socket) is shown in this demineralized section. Humans have twelve molars which possess two to three roots, with the upper molars typically having three. The enamel is not retained in this section as a result of the decalcification process used during tissue preparation. 10x",1,13,Tooth | Dental alveolus | Alveolar bone | Interradicular septum | Crown | Neck (cervix) | Roots | Enamel | Dentin | Contour lines of Owen | Cementum | Periodontal ligament | Gingiva,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-peridontium/periodontium-6
860,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/02_tooth-peridontium/07_periodontium-7/index.html,página de lâmina,Dental pulp,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth peridontium > Periodontium 7,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/advanced/periodontium-7/,"This image shows the cellular organization of dental pulp in the crown of this molar. 10x, 800x.",1,6,Dentin | Coronal pulp | Odontoblastic layer | Cell free zone (of Weil) | Cell rich zone | Radicular pulp,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-peridontium/periodontium-7
861,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/02_tooth-peridontium/index.html,nó de navegação curricular,Tooth peridontium,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth peridontium,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/advanced/,,0,0,,"Converter em índice curricular pesquisável, com objetivos, mapa de subtópicos, progresso e acesso às lâminas descendentes.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-peridontium
862,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/03_tooth-development/01_tooth-development/index.html,página de lâmina,Stages of tooth development,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth development > Tooth development 1,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/tooth-development/tooth-development-2/,"The stages of tooth development are shown in these diagrams and corresponding microscopic images. Tooth development in humans begins between 6 to 8 weeks of gestation and proceeds through four stages termed bud, cap, bell and crown. Following the crown stage, a fifth developmental period called the root phase ensues, during which the root structure is established, allowing the tooth to be anchored in the alveolar bone of the jaw.",1,5,Bud stage | Cap stage | Bell stage | Crown stage | Image source,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-development/tooth-development
863,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/03_tooth-development/02_tooth-development/index.html,página de lâmina,Developing oral cavity,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth development > Tooth development 2,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/tooth-development/tooth-dev-test/,"This image shows a section of the fetal face between 6-8 weeks of gestation, the time period when tooth development begins. Initially, the ectoderm above the primordial mandible and maxilla thickens and extends two horseshoe-shaped laminar evaginations into the underlying ectomesenchyme: a medial dental lamina, which forms the teeth; and a lateral vestibular lamina that forms the vestibule of the oral cavity. 10x",1,12,Oral cavity | Dental lamina | Tooth bud | Tooth germ | Vestibular lamina | Tongue | Developing mandible | Palate | Nasal septum | Nasal cavity | Area shown in next image | Image source,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-development/tooth-development
864,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/03_tooth-development/03_tooth-development/index.html,página de lâmina,"Laminae, bud and cap stages",Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth development > Tooth development 3,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/tooth-development/tooth-development-3/,Derivatives of the oral ectoderm are shown at higher magnification in this image. 100x,1,8,Dental lamina | Bud stage | Cap stage | Enamel organ | Dental papilla | Dental follicle | Vestibular lamina | Image source,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-development/tooth-development
865,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/03_tooth-development/04_tooth-development/index.html,página de lâmina,Bud stage of tooth development,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth development > Tooth development 4,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/tooth-development/tooth-development-4/,"Tooth development begins with the bud stage, during which the overlying ectoderm of the dental lamina grows down into the underlying ectomesenchyme. Seen here are bud stages from opposites of the developing oral cavity. 400x",1,5,Ectoderm | Tooth bud | Ectomesenchyme | Oral cavity | Image source,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-development/tooth-development
866,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/03_tooth-development/05_tooth-development/index.html,página de lâmina,Cap stage of tooth development (early),Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth development > Tooth development 5,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/tooth-development/tooth-development-4b/,"The cap stage results from a differential rate of cell proliferation in the epithelial cells of the bud, resulting in a concave structure resembling a cup. During this stage, histodifferentiation occurs establishing the enamel organ which encloses ectomesenchymal cells that develop into the dental papilla. The dental papilla forms the dentin and pulp. 400x",1,8,Dental lamina | Tooth germ | Enamel organ | Outer enamel epithelium | Inner enamel epithelium | Cervical loop | Dental papilla | Image source,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-development/tooth-development
867,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/03_tooth-development/06_tooth-development/index.html,página de lâmina,Cap stage of tooth development,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth development > Tooth development 6,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/tooth-development/tooth-development-6/,"This image shows the cap stage of tooth development, during which the concavity of the enamel organ deepens as histodifferentiation progresses. The central region of the enamel organ contains ectodermal cells that will eventually form the stellate reticulum during the bell stage. 100x",1,8,Tooth germ | Enamel organ | Inner enamel epithelium | Outer enamel epithelium | Cervical loop | Dental papilla | Dental follicle | Developing alveolar bone,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-development/tooth-development
868,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/03_tooth-development/07_tooth-development/index.html,página de lâmina,Bell stage of tooth development,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth development > Tooth development 7,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/tooth-development/tooth-development-8/,"During the bell stage, stem cells differentiate into their fully functional forms (cytodifferentiation). The morphology of the tooth is also determined at this time (morphodifferentiation). The dental lamina degenerates while extending a successional lamina, that will produce permanent (successional) teeth. 100x",1,11,Tooth germ | Enamel organ | Inner enamel epithelium | Outer enamel epithelium | Cervical loop | Stellate reticulum | Dental papillae | Dental follicle | Dental lamina | Successional lamina | Next image,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-development/tooth-development
869,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/03_tooth-development/08_tooth-development/index.html,página de lâmina,Late bell stage of tooth development,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth development > Tooth development 8,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/tooth-development/tooth-development-9/,This high magnification image of the developing crown of the tooth at the late bell stage shows the differentiating cells of the enamel organ and the dental papilla. 400x,1,8,Outer enamel epithelium | Inner enamel epithelium | Stratum intermedium | Reduced enamel epithelium | Stellate reticulum | Pre-odontoblasts | Basement membrane | Dental papilla,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-development/tooth-development
870,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/03_tooth-development/09_tooth-development/index.html,página de lâmina,Crown stage of tooth development,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth development > Tooth development 9,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/tooth-development/tooth-development-9-2/,"These images show the enamel organ at the crown stage (l) and a high magnification of the cusp (r). During the crown the hard tissues of the tooth are deposited, beginning at the cusp of the tooth. 50x (l), 300x (r)",1,13,Outer enamel epithelium | Inner enamel epithelium | Cervical loop | Stellate reticulum | Dental follicle | Dental pulp organ | Developing cusp | Odontoblasts | Predentin | Dentin | Enamel | Ameloblasts | Reduced enamel epithelium,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-development/tooth-development
871,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/03_tooth-development/10_tooth-development/index.html,página de lâmina,Root stage of tooth development,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth development > Tooth development 10,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/tooth-development/tooth-development-10/,"This image shows a developing tooth during the root stage, the final period in development. During this stage, enamel deposition ceases and cementum deposition begins. In addition, the eventual shape of the tooth root is determined. 10x",1,9,Gingiva | Alveolar bone | Enamel | Dentin | Cementum | Cemento-enamel junction | Dental pulp organ | Apical foramen | Image source,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-development/tooth-development
872,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/03_tooth-development/11_tooth-development/index.html,página de lâmina,Root stage of tooth development - Crown region,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth development > Tooth development 11,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/tooth-development/tooth-development-11/,"Root development occurs after crown formation and determines the eventual shape of the root. The area of the image on the right is indicated by the rectangle in the image to the left. 10x (l), 400x (r)",1,9,Gingiva | Enamel | Ameloblasts | Odontoblasts | Predentin | Dentin | Pulp organ | Blood vessels | Image source,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-development/tooth-development
873,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/03_tooth-development/12_tooth-development/index.html,página de lâmina,Root stage of tooth development - Neck region,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth development > Tooth development 12,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/tooth-development/tooth-development-12/,"The image on the right shows the region of the tooth where the cementum and enamel meet (indicated in the lower magnification image on the left). The junction marks the transition from the crown of the tooth to the root. 10x (l), 600x (r)",1,13,Ameloblasts | Tomes' processes | Enamel | Cemento-enamel junction | Cementum | Cementoblasts | Cementocytes | Dentin | Odontoblasts | Tomes' fibers | Predentin | Dental pulp | Image source,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-development/tooth-development
874,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/03_tooth-development/13_tooth-development/index.html,página de lâmina,Root stage of tooth development - Apex,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth development > Tooth development 13,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/tooth-development/tooth-development-13/,"This image shows the apex of the tooth where blood vessels and nerves enter through the apical foramen and where the dental pulp tissue becomes continuous with the surrounding connective tissue. During this stage, the cervical loop elongates into the Hertwig’s epithelial root sheath, a two-cell layered diaphragm that determines the shape of the tooth root. 10x (l), 300x (r)",1,9,Dental pulp | Odontoblasts | Predentin | Dentin | Cementum | Cementoblasts | Hertwig’s epithelial root sheath | Apical foramen | Image source,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-development/tooth-development
875,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/03_tooth-development/index.html,nó de navegação curricular,item,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth > Tooth development,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/tooth-development/,asdf,0,1,test,"Converter em índice curricular pesquisável, com objetivos, mapa de subtópicos, progresso e acesso às lâminas descendentes.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth/tooth-development
876,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/04_tooth/index.html,nó de navegação curricular,Tooth,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Tooth,https://digitalhistology.org/organs-systems/digestive/oral-cavity/tooth/,,0,0,,"Converter em índice curricular pesquisável, com objetivos, mapa de subtópicos, progresso e acesso às lâminas descendentes.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/tooth
877,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/05_major-salivary-gla/01_major-salivary-gla/index.html,página de lâmina,Salivary glands,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Major Salivary Glands > Major salivary glands 1,https://digitalhistology.org/organs-systems/digestive/oral-cavity/major-salivary-glands/major-salivary-glands-1/,"The major salivary glands (parotid, submandibular, sublingual) are paired, compound glands located within or adjacent to the oral cavity. Their secretory portions are subdivided into lobules by connective tissue. A complex duct system drains each gland, carrying saliva into the oral cavity. Saliva moistens food, buffers the contents of the oral cavity, and begins the digestion of carbohydrates.",1,7,Compound acinar gland | Secretory units | Lobules | Connective tissue septa | Intercalated ducts | Striated ducts | Interlobular ducts,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/major-salivary-gla/major-salivary-gla
878,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/05_major-salivary-gla/02_major-salivary-gla/index.html,página de lâmina,Parotid gland,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Major Salivary Glands > Major salivary glands 2,https://digitalhistology.org/organs-systems/digestive/oral-cavity/major-salivary-glands/major-salivary-glands-2/,"The paired parotid glands are compound acinar glands and, thus, contribute only serous products to saliva. Because of the presence of acini, the parotids have abundant striated ducts and the most intercalated ducts of the salivary glands. The parotid lies anterior to the ear, and its main duct empties into the vestibule opposite the upper second molar tooth. 10x",1,4,Lobules | Intralobular ducts | Interlobular ducts | Interlobular connective tissue,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/major-salivary-gla/major-salivary-gla
879,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/05_major-salivary-gla/03_major-salivary-gla/index.html,página de lâmina,Parotid gland,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Major Salivary Glands > Major salivary glands 3,https://digitalhistology.org/organs-systems/digestive/oral-cavity/major-salivary-glands/major-salivary-glands-3/,"This higher magnification image shows a group of lobules surrounded by interlobular connective tissue. In the parotid, each of these lobules consists of serous acini and the intralobular duct system. Secretory cells release their thin, watery secretions into a small lumen in the center of the acinus. From there, the fluid drains into intercalated ducts (not visible at this magnification), then intralobular ducts that anastomose to form larger interlobular ducts located in the surrounding connective tissue. 100x",1,6,Lobules | Acini | Intralobular ducts | Interlobular ducts | Interlobular connective tissue | Blood vessels,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/major-salivary-gla/major-salivary-gla
880,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/05_major-salivary-gla/04_major-salivary-gla/index.html,página de lâmina,Parotid gland,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Major Salivary Glands > Major salivary glands 4,https://digitalhistology.org/organs-systems/digestive/oral-cavity/major-salivary-glands/major-salivary-glands-4/,"A single lobule shows the relationship of the secretory acini and the draining duct system. Intercalated ducts drain individual acini and then form intralobular, striated ducts. Striated ducts converge at the center of the lobule eventually forming an interlobular duct that exists the lobule. 200x",1,6,Lobule | Acini | Intercalated ducts | Intralobular (striated) ducts | Interlobular ducts | Interlobular connective tissue,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/major-salivary-gla/major-salivary-gla
881,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/05_major-salivary-gla/05_major-salivary-gla/index.html,página de lâmina,Parotid gland,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Major Salivary Glands > Major salivary glands 5,https://digitalhistology.org/organs-systems/digestive/oral-cavity/major-salivary-glands/major-salivary-glands-5/,"The coalescing interlobular ducts seen here exit into the surrounding interlobular connective tissue. These larger interlobular ducts are lined by a stratified epithelium, initially stratified cuboidal, that eventually transitions into stratified columnar. 300x",1,6,Serous acini | Intercalated duct | Intralobular (striated) ducts | Interlobular ducts | Interlobular connective tissue | Blood vessels,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/major-salivary-gla/major-salivary-gla
882,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/05_major-salivary-gla/06_major-salivary-gla/index.html,página de lâmina,Parotid gland,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Major Salivary Glands > Major salivary glands 6,https://digitalhistology.org/organs-systems/digestive/oral-cavity/major-salivary-glands/major-salivary-glands-6/,"Each acinus is composed of a grapefruit-shaped cluster of serous-producing cells. Nuclei are peripherally located at the base of the cells; red secretory granules accumulate adjacent to the small central lumen, where they will be released. The granule contents and their large numbers cause acinar cells to stain intensely. 400x",1,6,Serous acini | Peripheral nuclei | Secretory granules | Acinar lumens | Intercalated duct | Striated ducts,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/major-salivary-gla/major-salivary-gla
883,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/05_major-salivary-gla/07_major-salivary-gla/index.html,página de lâmina,Parotid gland,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Major Salivary Glands > Major salivary glands 7,https://digitalhistology.org/organs-systems/digestive/oral-cavity/major-salivary-glands/major-salivary-glands-7/,"A high magnification of serous acini demonstrates the organelles present in this grapefruit-shaped, secretory unit, as well as its central lumen into which the secretory product is released. Once the saliva leaves the acinus, it will enter an intercalated duct. 1000x",1,4,Serous acini | Peripheral nuclei | Secretory granules | Acinar lumen,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/major-salivary-gla/major-salivary-gla
884,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/05_major-salivary-gla/08_major-salivary-gla/index.html,página de lâmina,Parotid gland,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Major Salivary Glands > Major salivary glands 8,https://digitalhistology.org/organs-systems/digestive/oral-cavity/major-salivary-glands/major-salivary-glands-8/,Serous secretions are released into the lumen of the acinus and continue into intercalated ducts. Intercalated ducts are initially lined by simple squamous epithelium which quickly becomes simple cuboidal. Intercalated ducts are smaller in diameter than the acini. The point where two acini empty into an intercalated duct is visible in this image. 600x,1,5,Serous acini | Acinar lumens | Intercalated duct | Junction of acini with intercalated duct | Secretory product,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/major-salivary-gla/major-salivary-gla
885,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/05_major-salivary-gla/09_major-salivary-gla/index.html,página de lâmina,Parotid gland,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Major Salivary Glands > Major salivary glands 9,https://digitalhistology.org/organs-systems/digestive/oral-cavity/major-salivary-glands/major-salivary-glands-9/,"Intercalated ducts anastomose to form the second intralobular duct, the striated duct. A striated duct has a diameter equal to, or larger than that of an acinus, and is lined by simple columnar epithelium. Numerous mitochondria and membrane infoldings at the bases of the epithelial cells produce peripheral striations, hence its name. 1000x",1,4,Striated duct | Basal striations | Central nuclei | Secretory product,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/major-salivary-gla/major-salivary-gla
886,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/05_major-salivary-gla/10_major-salivary-gla/index.html,página de lâmina,Parotid gland,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Major Salivary Glands > Major salivary glands 10,https://digitalhistology.org/organs-systems/digestive/oral-cavity/major-salivary-glands/major-salivary-glands-10/,"Intralobular ducts exit the lobules to form interlobular ducts located in the dense irregular connective tissue surrounding the lobules. As these ducts increase in diameter, their epithelium frequently becomes stratified columnar and eventually transitions to the stratified squamous epithelium of the vestibule into which they will empty. 100x",1,3,Interlobular duct | Stratified columnar epithelium | Interlobular connective tissue,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/major-salivary-gla/major-salivary-gla
887,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/05_major-salivary-gla/11_major-salivary-gla/index.html,página de lâmina,Submandibular gland,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Major Salivary Glands > Major salivary glands 11,https://digitalhistology.org/organs-systems/digestive/oral-cavity/major-salivary-glands/major-salivary-glands-11/,"Each submandibular gland is compound tubuloacinar, with serous acini more numerous than mucous tubules. Submandibular glands lie in the floor of the mouth and their excretory ducts empty just lateral to the frenulum of the tongue. Intralobular ducts are less numerous than in the parotid, but are still common. 40x",1,4,Serous acini | Mucous tubules | Intralobular ducts | Interlobular ducts,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/major-salivary-gla/major-salivary-gla
888,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/05_major-salivary-gla/12_major-salivary-gla/index.html,página de lâmina,Submandibular gland,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Major Salivary Glands > Major salivary glands 12,https://digitalhistology.org/organs-systems/digestive/oral-cavity/major-salivary-glands/major-salivary-glands-12/,"Mucus-secreting cells are arranged in tubules that stain lighter and appear more frothy than do the serous-producing cells. Serous cells may be arranged either in acini or in serous demilunes, half-moon shaped caps of serous-secreting cells located over the ends of mucous tubules. Striated ducts are well developed in this salivary gland. 100x",1,5,Mucous tubules | Serous acini | Serous demilunes | Intercalated duct | Striated duct,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/major-salivary-gla/major-salivary-gla
889,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/05_major-salivary-gla/13_major-salivary-gla/index.html,página de lâmina,Submandibular gland,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Major Salivary Glands > Major salivary glands 13,https://digitalhistology.org/organs-systems/digestive/oral-cavity/major-salivary-glands/major-salivary-glands-13/,The submandibular gland possesses both serous acini and mucous tubules. The tubules are pale staining and the cells secrete mucus. Acini stain more intensely because of the numerous secretory granules they contain. An intercalated duct with a simple cuboidal epithelium and a striated duct with a simple columnar epithelium are present. 200x,1,7,Serous acini | Secretory granules | Serous demilunes | Mucous tubules | Mucus | Intercalated duct | Striated ducts,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/major-salivary-gla/major-salivary-gla
890,04_orgaos-e-sistemas/04_sistema-digestorio/01_oral-cavity/05_major-salivary-gla/14_major-salivary-gla/index.html,página de lâmina,Submandibular gland,Órgãos e Sistemas > Sistema Digestório > Oral Cavity > Major Salivary Glands > Major salivary glands 14,https://digitalhistology.org/organs-systems/digestive/oral-cavity/major-salivary-glands/major-salivary-glands-14/,"The difference in staining qualities between serous acini and mucous tubules is obvious. Mucous tubules are elongated and stain palely due to the frothy, mucus content of the tubule cells. In contrast, the cytoplasm of the serous acinar cells stains darkly, reflecting their numerous secretory granules. No ducts are visible here. 400x",1,4,Serous acini | Serous demilunes | Mucus tubules | Mucous tubule lumens,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/sistema-digestorio/oral-cavity/major-salivary-gla/major-salivary-gla
